ticker,tanggal_beli,tanggal_jual,harga_beli,harga_jual,profit_pct,profit,rsi,ma20,ma50,smart_money,gap_up
BBCA,2026-01-27,2026-01-28,7185.45,6754.32,-6.0,NO,29.5,7624.96,7795.16,NO,NO
BBCA,2026-01-28,2026-01-29,6730.37,6395.05,-4.98,NO,20.65,7577.05,7767.97,NO,NO
BBCA,2026-01-29,2026-01-30,6898.03,6898.03,-0.0,NO,29.09,7537.53,7746.51,YES,NO
TLKM,2026-03-10,2026-03-11,2960.0,3000.0,1.35,YES,28.63,3413.5,3495.4,NO,NO
BBRI,2026-03-30,2026-03-31,3360.0,3350.0,-0.3,NO,28.63,3648.0,3734.4,NO,NO
BBRI,2026-03-31,2026-04-01,3330.0,3400.0,2.1,YES,27.31,3621.0,3726.8,NO,NO
BBRI,2026-04-01,2026-04-02,3350.0,3340.0,-0.3,NO,29.64,3590.0,3720.2,NO,NO
BBRI,2026-04-02,2026-04-06,3320.0,3340.0,0.6,YES,28.18,3558.5,3712.6,NO,NO
BBRI,2026-04-06,2026-04-07,3310.0,3310.0,0.0,NO,27.69,3528.5,3704.4,NO,NO
BBRI,2026-04-07,2026-04-08,3230.0,3340.0,3.41,YES,24.1,3499.0,3694.6,NO,NO
